Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews,Discount Amount,Cluster,PC1,PC2
Women's adidas Originals NMD_Racer Primeknit Shoes,AH2430,14999,8.922658299524402,50,Adidas ORIGINALS,4.8,41,7499.5,1,0.1953191442517001,-0.027308775315068534
Women's adidas Originals Sleek Shoes,G27341,7599,8.242756345714477,50,Adidas ORIGINALS,3.3,24,3799.5,1,0.2251511462478048,-0.2882397185608646
Women's adidas Swim Puka Slippers,CM0081,999,6.396929655216146,40,Adidas CORE / NEO,2.6,37,399.6,1,0.27007510403419327,-0.2842401068028364
Women's adidas Sport Inspired Questar Ride Shoes,B44832,6999,8.160518247477505,50,Adidas CORE / NEO,4.1,35,3499.5,1,0.23020564446369746,-0.21588436452546625
Women's adidas Originals Taekwondo Shoes,D98205,7999,8.294049640102028,50,Adidas ORIGINALS,3.5,72,3999.5,2,0.3855554648282054,0.15103739861064086
Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,B75586,4799,7.560601162768557,60,Adidas CORE / NEO,1.0,45,2879.4,1,0.5952278454589659,-0.18497791879224676
Women's adidas Sport Inspired Duramo Lite 2.0 Shoes,CG4051,4799,7.783224016336037,50,Adidas CORE / NEO,4.4,2,2399.5,1,0.11670302671103355,-0.569691967749788
Women's adidas Swim Puka Slippers,CM0080,999,6.396929655216146,40,Adidas CORE / NEO,2.8,7,399.6,1,0.15303595154858124,-0.5598500139053756
WOMEN'S ADIDAS RUNNING DURAMO 9 SHOES,B75990,5599,7.937374696163295,50,Adidas CORE / NEO,4.5,16,2799.5,1,0.1539306082487107,-0.4259561588735053
Men's adidas Originals Forest Grove Shoes,EE5761,6599,8.283999304248526,40,Adidas ORIGINALS,4.0,39,2639.6000000000004,1,0.09220787554222148,-0.11960844734004356
Women's adidas Originals Swift Run Shoes,EE4553,7599,8.425077902508432,40,Adidas ORIGINALS,2.7,36,3039.6000000000004,1,0.1368601073240055,-0.10166671757075063
Women's adidas Originals Continental Vulc Shoes,EF9315,6599,8.283999304248526,40,Adidas ORIGINALS,4.2,35,2639.6000000000004,1,0.06836779714063068,-0.15960404721183974
Women's adidas Running Duramo 9 Shoes,F35281,5999,8.006367567650246,50,Adidas CORE / NEO,2.6,97,2999.5,2,0.5310564756562182,0.3526262621718293
Women's adidas Originals Supercourt Shoes,EF9220,7599,8.425077902508432,40,Adidas ORIGINALS,3.1,62,3039.6000000000004,2,0.21105566278454418,0.12645309983355163
Men's adidas Sport Inspired Response Trail Shoes,EG0000,7999,8.294049640102028,50,Adidas CORE / NEO,3.2,16,3999.5,1,0.1990716365379253,-0.35081870343959043
Women's adidas Running Cosmic 2 Shoes,B44889,5999,8.006367567650246,50,Adidas CORE / NEO,3.1,69,2999.5,2,0.4069338437479188,0.08951966517874743
Women's adidas Sport Inspired Storm Runner Shoes,CL7417,4599,7.7406644019172415,50,Adidas CORE / NEO,1.0,16,2299.5,1,0.3307725175530554,-0.38401146104182216
Women's adidas Sport Inspired Quickspike Shoes,CL7408,3999,7.600902459542082,50,Adidas CORE / NEO,3.1,8,1999.5,1,0.21030726451064236,-0.5111513838360614
WOMEN'S ADIDAS SWIM CLOUDFOAM FLIP FLOPS,B43601,3299,7.408530566894626,50,Adidas CORE / NEO,2.7,62,1649.5,2,0.43440418451724877,-0.033658528091286166
Women's adidas Sport Inspired Lite Racer Shoes,EE8245,4299,7.673223121121708,50,Adidas CORE / NEO,3.8,67,2149.5,2,0.3843669483004109,0.01817054054376749
Women's adidas Running Duramo 9 Shoes,EE8042,5599,7.937374696163295,50,Adidas CORE / NEO,5.0,30,2799.5,1,0.18036032678383046,-0.30845502880154074
Women's adidas Sport Inspired Arcadeis Shoes,CL7429,4299,7.673223121121708,50,Adidas CORE / NEO,3.7,43,2149.5,1,0.30308791341718494,-0.1974459667510774
Women's adidas Sport Inspired Videll Shoes,CL7370,3799,7.731930721948486,40,Adidas CORE / NEO,3.9,13,1519.6000000000001,1,0.03342756834259952,-0.41958479796590814
Women's adidas Running EnergyFalcon X Shoes,EE9946,6599,8.101677747454572,50,Adidas CORE / NEO,4.4,81,3299.5,2,0.3835679814907294,0.18691858852383675
Women's adidas Sport Inspired Videll Shoes,CK9741,3799,7.549609165154532,50,Adidas CORE / NEO,3.6,70,1899.5,2,0.41181252846913724,0.03598892618890309
Women's adidas Running Hellion Z Shoes,CL7363,3299,7.590852123688581,40,Adidas CORE / NEO,2.7,46,1319.6000000000001,1,0.21723963402927965,-0.11206574655086432
Women's adidas Sport Inspired Videll Shoes,CL7372,3799,7.731930721948486,40,Adidas CORE / NEO,3.2,63,1519.6000000000001,2,0.24591271455681202,0.046634996212561286
Women's adidas Sport Inspired Arcadeis Shoes,CL7430,4299,7.673223121121708,50,Adidas CORE / NEO,4.9,95,2149.5,2,0.4324755057147797,0.25129917823108644
Women's adidas Sport Inspired Cloudfoam Pure Shoes,F34485,5599,8.11969625295725,40,Adidas CORE / NEO,5.0,15,2239.6,1,-0.03321964393167626,-0.37780015852147497
Women's adidas Running Hellion Z Shoes,CL7365,3299,7.590852123688581,40,Adidas CORE / NEO,3.6,34,1319.6000000000001,1,0.13146675985689543,-0.2376734135360835
Women's adidas Sport Inspired Yking 2.0 Shoes,CL7373,3299,7.590852123688581,40,Adidas CORE / NEO,2.2,86,1319.6000000000001,2,0.38437722320712725,0.2597859153179451
Women's adidas Running Hellion Z Shoes,CL7364,3299,7.590852123688581,40,Adidas CORE / NEO,3.9,3,1319.6000000000001,1,0.006092147942950432,-0.524219031834877
Women's adidas Sport Inspired Yking 2.0 Shoes,CL7374,3299,7.590852123688581,40,Adidas CORE / NEO,3.4,67,1319.6000000000001,2,0.25925965165989456,0.06512275978538756
Women's adidas Sport Inspired RunFalcon Shoes,EE8167,5599,8.11969625295725,40,Adidas CORE / NEO,3.3,5,2239.6,1,0.011699512493501318,-0.43656946415554143
Women's adidas Sport Inspired Quickspike Shoes,CL7410,3999,7.783224016336037,40,Adidas CORE / NEO,4.8,85,1599.6000000000001,2,0.24574367871187136,0.22136406872887587
Women's adidas Sport Inspired Blaze Runner Shoes,CL7401,5599,8.11969625295725,40,Adidas CORE / NEO,3.6,4,2239.6,1,-0.006137706246573005,-0.45125242026501594
Women's adidas Sport Inspired Lite Racer CLN Shoes,EE8219,4599,7.9229859587111955,40,Adidas CORE / NEO,4.1,35,1839.6000000000001,1,0.09179098976927846,-0.20332786976877718
Women's adidas Sport Inspired Blaze Runner Shoes,CL7402,5599,8.11969625295725,40,Adidas CORE / NEO,3.6,13,2239.6,1,0.026123511705588187,-0.3696936216082203
Women's adidas Nova Run X Shoes,EE9929,8599,8.548691858475609,40,Adidas CORE / NEO,2.5,20,3439.6000000000004,1,0.08397342163457816,-0.22304020942505356
Women's adidas Sport Inspired Questar Flow Shoes,EE8221,6599,8.283999304248526,40,Adidas CORE / NEO,2.7,41,2639.6000000000004,1,0.1611384706134647,-0.07712717792482321
Women's adidas Sport Inspired Questar Flow Shoes,EE8224,6599,8.283999304248526,40,Adidas CORE / NEO,2.5,72,2639.6000000000004,2,0.28176220287153914,0.20754481791735996
Women's adidas Running EnergyFalcon X Shoes,EE9941,6599,8.283999304248526,40,Adidas CORE / NEO,1.5,32,2639.6000000000004,1,0.1858878085317514,-0.1362025071022967
Women's adidas Running Asweego Shoes,EE8522,7599,8.425077902508432,40,Adidas CORE / NEO,2.6,84,3039.6000000000004,2,0.3136708160580694,0.3351871643887698
Women's adidas Running Sooraj Shoes,EE9932,5599,8.11969625295725,40,Adidas CORE / NEO,5.0,75,2239.6,2,0.1818551424160652,0.16592516585716283
Women's adidas Sport Inspired Questar Ride Shoes,EE8375,6999,8.34283980427146,40,Adidas CORE / NEO,4.5,4,2799.6000000000004,1,-0.0597311212346896,-0.4377174039061446
Men's adidas Sport Inspired Run 70s Shoes,EE9798,5599,8.11969625295725,40,Adidas CORE / NEO,3.9,48,2239.6,1,0.1373311647741588,-0.0581413830905122
Women's adidas Running Asweerun Shoes,EE8502,4999,8.006367567650246,40,Adidas CORE / NEO,3.2,12,1999.6000000000001,1,0.0475240014125074,-0.38519887755481813
Women's adidas Sport Inspired Archivo Shoes,EF0450,4999,8.006367567650246,40,Adidas CORE / NEO,3.9,83,1999.6000000000001,2,0.2687730076662403,0.24509406576363196
Women's Sport Inspired Yking 2.0 Shoes,CL7375,3299,7.590852123688581,40,Adidas CORE / NEO,2.0,11,1319.6000000000001,1,0.12503549958419174,-0.4161234952421317
Women's adidas Sport Inspired Archivo Shoes,EF0446,4999,8.006367567650246,40,Adidas CORE / NEO,1.0,42,1999.6000000000001,1,0.25958074701553263,-0.07211652132007523
Women's adidas Running Response Trail X Shoes,EF0529,6999,8.34283980427146,40,Adidas CORE / NEO,3.3,69,2799.6000000000004,2,0.2302771198458115,0.17380183365003515
Women's adidas Running EnergyFalcon X Shoes,EE9940,6599,8.283999304248526,40,Adidas CORE / NEO,4.1,33,2639.6000000000004,1,0.06594951725157672,-0.17585460223451746
Women's adidas Originals Marathon Tech Shoes,EE4954,11999,8.881836305004146,40,Adidas ORIGINALS,4.4,35,4799.6,1,0.03694368692407135,-0.05962241927537176
Women's adidas Originals U_Path Run Shoes,G27996,7999,8.476371196895983,40,Adidas ORIGINALS,4.8,18,3199.6000000000004,1,-0.02958455253965192,-0.2960862838913401
Men's adidas Sport Inspired Drogo Shoes,CL4156,2699,7.2078598714324755,50,Adidas CORE / NEO,3.5,89,1349.5,2,0.505765252057073,0.17759915943302423
Women's adidas Originals Stan Smith Shoes,EE4893,7999,8.476371196895983,40,Adidas ORIGINALS,4.0,47,3199.6000000000004,1,0.11237529810872171,-0.018296730788783744
Women's adidas Running Sooraj Shoes,EE9937,5599,8.11969625295725,40,Adidas CORE / NEO,4.8,94,2239.6,2,0.25946391740459135,0.34185209682361856
Women's adidas Originals U_Path Run Shoes,G27649,7999,8.476371196895983,40,Adidas ORIGINALS,4.5,35,3199.6000000000004,1,0.045605942559820145,-0.1364099079475622
Men's adidas Sport Inspired Run 70s Shoes,EE9797,5599,8.11969625295725,40,Adidas CORE / NEO,4.7,39,2239.6,1,0.0670629095750323,-0.1546891614001893
Men's adidas Running Nayo 1.0 shoes,CI9914,4999,7.601402334583733,60,Adidas CORE / NEO,3.8,98,2999.4,2,0.6499634124294047,0.2476528166393513
Men's adidas Sports Inspired Lite Racer Shoes,EE8252,4299,7.673223121121708,50,Adidas CORE / NEO,1.5,6,2149.5,1,0.2749778142652322,-0.49152355607248
Women's adidas Running Aseerun Shoes,EE8501,4999,8.006367567650246,40,Adidas CORE / NEO,4.8,77,1999.6000000000001,2,0.20450761212863017,0.17385893121627644
Men's adidas Running Torik Shoes,CL7602,4799,7.783224016336037,50,Adidas CORE / NEO,4.4,17,2399.5,1,0.17047172329796895,-0.43376063665512865
Men's adidas Sport Inspired Kalus 1.0 Shoes,CL7494,4599,7.7406644019172415,50,Adidas CORE / NEO,3.0,28,2299.5,1,0.27876988170519074,-0.31273884529829826
